Date,Original,EW,GMV,MSR
2011-01-05,1005.2590447469745,1002.1885755731115,1001.4360457785402,999.509642069216
2011-01-06,1015.0277395940348,1009.4700396663734,999.7149506981078,1012.9274495551741
2011-01-07,1015.7342407384326,1007.9323162796375,995.5488525730531,1009.4064297928445
2011-01-10,1016.9226187385623,1006.6935211726451,993.4511369901917,1007.4299913613414
2011-01-11,1021.0407721547339,1013.0159041029818,993.8005912278359,1008.7063693251641
2011-01-12,1034.1804071318527,1022.6722436465145,1000.1392646653528,1021.7570842977419
2011-01-13,1035.1546004591019,1019.6735422706133,999.2776391582719,1014.7617301609033
2011-01-14,1044.222167172829,1026.9080997957171,1002.2991774542425,1022.0279511522033
2011-01-19,1031.1616667096853,1013.8262175920552,998.796024969639,1018.3707781510705
2011-01-20,1018.4468720565271,997.4192971955894,984.2217314653643,1011.4772017281941
2011-01-21,1012.6926870604675,996.8382547116605,986.1507146875795,998.9330646395917
2011-01-24,1022.543919198762,1008.995861547382,998.8766708059145,1013.2156148451251
2011-01-25,1022.0895842981419,1004.3630954604901,997.0234342517002,1018.5423117293482
2011-01-26,1028.4333743426512,1014.5208513529562,1001.793217109392,1027.6587129366485
2011-01-27,1031.3894298416565,1015.9573043762005,1003.0707201703631,1032.0826804777996
2011-01-28,1007.4561712762178,997.2678630080844,984.9875512213188,1007.5522548854179
2011-01-31,1007.4656899365147,995.8737543916144,982.4622655436019,1008.6993831410309
2011-02-01,1026.9855997885743,1016.7881751830985,1005.6854421622703,1018.0493093545992
2011-02-02,1026.8092100114827,1016.1781193414258,1002.2201933238639,1015.0550593860696
2011-02-03,1024.1334552085004,1017.4026459385914,1012.6247965503386,1014.8612949772881
2011-02-04,1028.6153295484141,1023.3467656056143,1015.115662744714,1017.4031957912284
2011-02-07,1037.9979539322583,1031.1600965172827,1022.4526280568274,1029.3937047260633
2011-02-08,1043.1085608557432,1037.9234935936527,1028.0471450011898,1034.3734724315516
2011-02-09,1036.705841099666,1030.2963283616994,1020.3193402284843,1031.0437330385864
