Method,Return (ann.%),Vol (ann.%),Sharpe
Original,14.33376034396479,18.5333436428757,0.6488994487306129
EW,11.052642622917535,17.105499604810905,0.5112483677173758
GMV,6.616539307013785,13.687672250324423,0.314812873748048
MSR,23.147035972701396,20.814848608236133,1.001186820714504
