Method,ISF.L,ADM.L,TW.L,ALB,TXN,VOW3.DE,AAPL,MRVL,ATT.L,CACI,BRK-B,GSK.L,GOOGL,MSFT,SHEL.L,BHP.L,PFE
Original,8.98,4.6,0.6,6.6000000000000005,2.39,0.45999999999999996,9.8,11.77,12.15,2.03,8.33,0.8200000000000001,8.309999999999999,13.819999999999999,3.9899999999999998,2.25,3.1
EW,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88
GMV,24.86,8.43,0.0,0.0,0.0,0.0,2.7,0.0,4.71,3.7699999999999996,13.100000000000001,24.21,3.65,0.0,0.0,0.0,14.59
MSR,0.0,0.0,0.0,0.0,0.0,0.0,18.310000000000002,0.0,23.28,11.29,0.0,0.0,0.0,47.11,0.0,0.0,0.0
