date,theta_log
2021-01-04,3.89227237824977
2021-01-05,3.8938175229127965
2021-01-06,3.895216893350531
2021-01-07,3.896470075466747
2021-01-08,3.897576698424695
2021-01-11,3.900014155088178
2021-01-12,3.9005317018061554
2021-01-13,3.900901487465285
2021-01-14,3.9011234026400423
2021-01-15,3.9011973816621555
2021-01-19,3.900014155088178
2021-01-20,3.8993490004617537
2021-01-21,3.8985364347568376
2021-01-22,3.897576698424695
2021-01-25,3.8938175229127965
2021-01-26,3.89227237824977
2021-01-27,3.8905819165946163
2021-01-28,3.888746638182136
2021-01-29,3.886767086100738
2021-02-01,3.8799688580679916
2021-02-02,3.8774184933774394
2021-02-03,3.8747272071982697
2021-02-04,3.8718957959253615
2021-02-05,3.8689250974188636
2021-02-08,3.859186273786399
2021-02-09,3.8556676253190596
2021-02-10,3.8520144917948986
2021-02-11,3.848227954234899
2021-02-12,3.8443091331364454
2021-02-16,3.8273347860881475
2021-02-17,3.8227727125762554
2021-02-18,3.818085888141451
2021-02-19,3.8132756996904886
2021-02-22,3.7981193643512063
2021-02-23,3.792830312628995
2021-02-24,3.7874253704217424
2021-02-25,3.7819061371388054
2021-02-26,3.7762742460101077
2021-03-01,3.7587194549390275
2021-03-02,3.752653924016286
2021-03-03,3.74648439144827
2021-03-04,3.7402126828989246
2021-03-05,3.7338406542677114
2021-03-08,3.7141416488159065
2021-03-09,3.707387484157188
2021-03-10,3.700542712921016
2021-03-11,3.6936093605853215
2021-03-12,3.6865894788406073
2021-03-15,3.6650315544434133
2021-03-16,3.6576865748117693
2021-03-17,3.6502656959013584
2021-03-18,3.6427711136696397
2021-03-19,3.6352050458840726
2021-03-22,3.612100420203487
2021-03-23,3.604271000977445
2021-03-24,3.596381489000307
2021-03-25,3.588434218905597
2021-03-26,3.580431542418396
2021-03-29,3.556114833578057
2021-03-30,3.5479143661454193
2021-03-31,3.5396704827966237
2021-04-01,3.5313856230293847
2021-04-05,3.4978856188672585
2021-04-06,3.489432868407916
2021-04-07,3.4809540076484735
2021-04-08,3.472451545620241
2021-04-09,3.463927998338524
2021-04-12,3.4382560942376275
2021-04-13,3.4296734796791752
2021-04-14,3.4210824385851835
2021-04-15,3.4124855131829284
2021-04-16,3.4038852474409476
2021-04-19,3.378089858170301
2021-04-20,3.3695016792274
2021-04-21,3.360922879552785
2021-04-22,3.3523559977512973
2021-04-23,3.343803568901092
2021-04-26,3.3182582821948396
2021-04-27,3.3097889191696455
2021-04-28,3.301346605379124
2021-04-29,3.2929338390397485
2021-04-30,3.284553109624428
2021-05-03,3.259627891048064
2021-05-04,3.2514000034635253
2021-05-05,3.243216443333204
2021-05-06,3.2350796323042035
2021-05-07,3.226991978189815
2021-05-10,3.2030478130276965
2021-05-11,3.195180563182442
2021-05-12,3.187374277028268
2021-05-13,3.1796312645708382
2021-05-14,3.1719538170921115
2021-05-17,3.1493374822939884
2021-05-18,3.141944809466577
2021-05-19,3.1346288536462508
2021-05-20,3.12739177974204
2021-05-21,3.120235729320546
2021-05-24,3.0992747712236035
2021-05-25,3.0924637415203797
2021-05-26,3.08574407106832
2021-05-27,3.0791177483260213
2021-05-28,3.0725867341289894
2021-06-01,3.047453980436988
2021-06-02,3.0414279145458636
2021-06-03,3.0355083102281926
2021-06-04,3.0296969191901306
2021-06-07,3.0129290594407228
2021-06-08,3.0075673905663094
2021-06-09,3.0023222031391588
2021-06-10,2.9971950492946178
2021-06-11,2.992187446239997
2021-06-14,2.977896580613342
2021-06-15,2.9733816387377203
2021-06-16,2.9689932944233233
2021-06-17,2.964732846251835
2021-06-18,2.960601554958414
2021-06-21,2.9489946542450056
2021-06-22,2.9453918280656435
2021-06-23,2.941923882082797
2021-06-24,2.9385918425174764
2021-06-25,2.935396695373796
2021-06-28,2.926641859217041
2021-06-29,2.92400332750336
2021-06-30,2.9215060051876183
2021-07-01,2.9191506312676676
2021-07-02,2.9169379027365454
2021-07-06,2.90952590099271
2021-07-07,2.908035370396262
2021-07-08,2.9066907743731614
2021-07-09,2.9054925108110035
2021-07-12,2.9027790436174836
2021-07-13,2.9021692212356496
2021-07-14,2.9017070693150764
2021-07-15,2.9013927246139533
2021-07-16,2.901226280151935
2021-07-19,2.90161462183165
2021-07-20,2.9020398330604964
2021-07-21,2.9026127530386465
2021-07-22,2.903333212229862
2021-07-23,2.9042009974386764
2021-07-26,2.9076855237427863
2021-07-27,2.9091396103616383
2021-07-28,2.9107393047914667
2021-07-29,2.9124841336569527
2021-07-30,2.9143735806351634
2021-08-02,2.920903826099749
2021-08-03,2.9233657289604205
2021-08-04,2.925969029894698
2021-08-05,2.9287129585439526
2021-08-06,2.9315967029355514
2021-08-09,2.9410780917594517
2021-08-10,2.9445121557802625
2021-08-11,2.9480813603067704
2021-08-12,2.9517846491539332
2021-08-13,2.955620926459001
2021-08-16,2.9679161422198863
2021-08-17,2.9722726327686906
2021-08-18,2.9767560490514278
2021-08-19,2.9813650643530893
2021-08-20,2.986098314791895
2021-08-23,3.0010292891633394
2021-08-24,3.00624511235092
2021-08-25,3.0115778082691613
2021-08-26,3.0170257988875453
2021-08-27,3.022587472057999
2021-08-30,3.0399379637255
2021-08-31,3.0459375801775184
2021-09-01,3.0520423237203764
2021-09-02,3.0582503878622442
2021-09-03,3.064559935537064
2021-09-07,3.090775180836832
2021-09-08,3.0975635586338486
2021-09-09,3.104441786564098
2021-09-10,3.111407829249275
2021-09-13,3.1328121059318
2021-09-14,3.1401085433324014
2021-09-15,3.1474822411207795
2021-09-16,3.1549310173011285
