path,npv_eur,npv_eur_mean,npv_eur_p50,npv_eur_p10,npv_eur_p90
0,2601.1283407728943,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
1,9174.54114016166,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
2,2776.4092530412286,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
3,3549.2738394853664,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
4,4090.183755634013,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
5,6600.893318804627,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
6,2337.4788751634546,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
7,7315.405544753697,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
8,5011.972429938444,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
9,5090.607260980113,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
10,4802.433742815847,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
11,2801.091716623875,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
12,2877.9910643999515,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
13,1589.056786979866,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
14,4432.847537591617,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
15,4518.095354584851,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
16,4225.971084405645,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
17,2873.6757773623563,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
18,3054.302593395634,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
19,2880.2406718069033,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
20,4741.443468904072,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
21,2900.2050002027377,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
22,3779.473264118545,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
23,3165.2894755424904,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
24,4295.824649987049,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
25,8399.93127079612,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
26,3192.793132648326,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
27,2932.3157387550164,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
28,8082.721430408131,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
29,3362.471832124664,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
30,8068.398762192553,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
31,3960.0274265415874,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
32,3809.4815113260215,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
33,2214.9188808208464,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
34,4378.056519785694,5527.615657021368,4698.210142945809,2869.153655646258,9211.402855659931
