path,npv_eur,npv_eur_mean,npv_eur_p50,npv_eur_p10,npv_eur_p90
0,3084.910934969707,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
1,13637.571071282171,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
2,3502.4452496509907,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
3,4567.596750558085,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
4,5202.471640548944,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
5,10165.135035480353,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
6,2636.2319896893914,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
7,9764.048006524514,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
8,4690.997077304978,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
9,8091.55920917922,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
10,7490.3656974471905,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
11,3289.896250505327,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
12,3442.212903491871,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
13,1815.3139488957058,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
14,5153.776480346102,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
15,7057.491936745907,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
16,5198.0473004821415,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
17,3578.7232040634235,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
18,4297.946898217883,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
19,3683.0600756542844,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
20,6825.949922419831,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
21,4078.312746138458,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
22,4745.360709704228,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
23,3956.2204560205582,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
24,5279.4463174302755,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
25,9341.354364903973,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
26,3989.526853800674,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
27,3991.06173250876,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
28,9979.98217529563,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
29,4503.420872016169,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
30,9810.164430398772,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
31,4328.591501053905,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
32,4654.407407351651,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
33,2651.7676194717083,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
34,5786.51192833108,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
35,9090.38658498624,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
36,18634.39556828389,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
37,5075.923176476482,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
38,8029.141860675024,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
39,3496.6475499270236,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
40,10624.498999977226,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
41,2677.1188793928145,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
42,8443.702912191464,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
43,4883.238156198154,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
44,4099.030515724859,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
45,2827.4427973546713,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
46,11077.42605800796,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
47,4152.0032366104115,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
48,8255.155976128714,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
49,5824.734107728471,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
50,14440.057908476045,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
51,11681.189310204549,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
52,9943.280846176312,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
53,11510.809150840836,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
54,5558.781416325791,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
55,5793.58748305713,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
56,11264.475289994476,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
57,7589.243366628318,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
58,13259.088334495726,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
59,4052.342258527203,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
60,6555.609514321455,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
61,5504.642497554869,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
62,7324.19887558832,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
63,11154.73203692097,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
64,11555.232594993186,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
65,9966.091654160924,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
66,4605.390854357083,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
67,3861.729683132514,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
68,5116.229407968178,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
69,7461.586597397045,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
70,7920.0147071520605,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
71,3914.9347337891695,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
72,5757.30915969065,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
